WS01000010,Installationsguide för trådlösa enheter
WS98060050,64 (40) bitar WEP: ”71f2234aba”
WS98060060,128 (104) bitar WEP: ”71f2234ab56cd709e5412aa3ba”
WS98070010,Avsluta installationen
WS98070020,Installationen har inte slutförts.
WS98070030,Om du avslutar installationsprogrammet blir inte den trådlösa enheten konfigurerad.
WS98070040,Fortsätt med installationsprogrammet genom att klicka på ”Fortsätt”.
WS98070050,Avsluta installationsprogrammet genom att klicka på ”Avsluta”.
WS98100010,Ogiltig nätverksnyckel
WS98100020,Lösenordsfrasen är en ASCII sträng med 8-63 tecken.
WS98150010,Ogiltig nätverksnyckel
WS98150020,Du har inte angett rätt nätverksnyckel. Skriv 5 eller 8-63 tecken beroende på säkerhetsmetoden.
WS98150030,Mer information finns i hjälptexten.
WS98160010,USB-anslutningsfel
WS98160020,Kontrollera att en USB-kabel är ansluten till enheten.
WS98160030,Kontrollera att enheten är påslagen.
WS99010010,OK
WS99010020,Avbryt
WS99010030,Avsluta
WS99010040,< Tillbaka
WS99010050,Nästa >
WS99010060,Hjälp
WS99010070,Uppdatera
WS99010090,Fortsätt
WS99010100,Avancerat
WS99010130,Var finns mitt SSID?
WS99010140,Var finns min nätverksnyckel?
WS99010150,Försök igen >
WS99020100,Öppet system
WS99020110,Delad nyckel
WS99020120,WPA / WPA2-PSK
WS99020160,LEAP
WS99020170,EAP-FAST
WS99020180,PEAP
WS99020190,EAP-TTLS
WS99020200,Ingen
WS99020210,WEP
WS99020220,TKIP
WS99020230,AES
WS99020240,CKIP
WS99020250,TKIP+AES
WS99020500,EAP-TLS
WS99030100,INGEN
WS99030110,GTC
WS99030120,MS-CHAPv2
WS99030130,CHAP
WS99030140,MS-CHAP
WS99030150,PAP
